match,group,matchup,pick
1,A,Mexico v South Africa,South Africa
2,A,South Korea v Czech Republic,Draw
3,B,Canada v Bosnia and Herzegovina,Draw
4,D,United States v Paraguay,United States
5,C,Haiti v Scotland,Draw
6,D,Australia v Turkey,Turkey
7,C,Brazil v Morocco,Draw
8,B,Qatar v Switzerland,Draw
9,E,Ivory Coast v Ecuador,Ecuador
10,E,Germany v Curaçao,Curaçao
11,F,Netherlands v Japan,Draw
12,F,Sweden v Tunisia,Sweden
13,H,Saudi Arabia v Uruguay,Uruguay
14,H,Spain v Cape Verde,Cape Verde
15,G,Iran v New Zealand,Draw
16,G,Belgium v Egypt,Belgium
17,I,France v Senegal,France
18,I,Iraq v Norway,Draw
19,J,Argentina v Algeria,Algeria
20,J,Austria v Jordan,Jordan
21,L,Ghana v Panama,Draw
22,L,England v Croatia,England
23,K,Portugal v DR Congo,Draw
24,K,Uzbekistan v Colombia,Colombia
25,A,Czech Republic v South Africa,Czech Republic
26,B,Switzerland v Bosnia and Herzegovina,Bosnia and Herzegovina
27,B,Canada v Qatar,Qatar
28,A,Mexico v South Korea,Mexico
29,C,Brazil v Haiti,Haiti
30,C,Scotland v Morocco,Morocco
31,D,Turkey v Paraguay,Paraguay
32,D,United States v Australia,Draw
33,E,Germany v Ivory Coast,Germany
34,E,Ecuador v Curaçao,Draw
35,F,Netherlands v Sweden,Draw
36,F,Tunisia v Japan,Draw
37,H,Uruguay v Cape Verde,Cape Verde
38,H,Spain v Saudi Arabia,Saudi Arabia
39,G,Belgium v Iran,Belgium
40,G,New Zealand v Egypt,New Zealand
41,I,Norway v Senegal,Draw
42,I,France v Iraq,Draw
43,J,Argentina v Austria,Draw
44,J,Jordan v Algeria,Algeria
45,L,England v Ghana,Draw
46,L,Panama v Croatia,Croatia
47,K,Portugal v Uzbekistan,Portugal
48,K,Colombia v DR Congo,Draw
49,C,Scotland v Brazil,Brazil
50,C,Morocco v Haiti,Haiti
51,B,Switzerland v Canada,Canada
52,B,Bosnia and Herzegovina v Qatar,Bosnia and Herzegovina
53,A,Czech Republic v Mexico,Czech Republic
54,A,South Africa v South Korea,South Africa
55,E,Curaçao v Ivory Coast,Draw
56,E,Ecuador v Germany,Draw
57,F,Japan v Sweden,Japan
58,F,Tunisia v Netherlands,Netherlands
59,D,Turkey v United States,Draw
60,D,Paraguay v Australia,Draw
61,I,Norway v France,Draw
62,I,Senegal v Iraq,Draw
63,G,Egypt v Iran,Iran
64,G,New Zealand v Belgium,Belgium
65,H,Cape Verde v Saudi Arabia,Draw
66,H,Uruguay v Spain,Draw
67,L,Panama v England,Draw
68,L,Croatia v Ghana,Croatia
69,J,Algeria v Austria,Draw
70,J,Jordan v Argentina,Draw
71,K,Colombia v Portugal,Portugal
72,K,DR Congo v Uzbekistan,DR Congo
