1,Mexico v South Africa,Mexico
2,South Korea v Czech Republic,Czech Republic
3,Canada v Bosnia and Herzegovina,Canada
4,United States v Paraguay,Paraguay
5,Haiti v Scotland,Haiti
6,Australia v Turkey,Turkey
7,Brazil v Morocco,Morocco
8,Qatar v Switzerland,Draw
9,Ivory Coast v Ecuador,Draw
10,Germany v Curaçao,Germany
11,Netherlands v Japan,Netherlands
12,Sweden v Tunisia,Tunisia
13,Saudi Arabia v Uruguay,Draw
14,Spain v Cape Verde,Draw
15,Iran v New Zealand,Iran
16,Belgium v Egypt,Belgium
17,France v Senegal,Draw
18,Iraq v Norway,Iraq
19,Argentina v Algeria,Draw
20,Austria v Jordan,Jordan
21,Ghana v Panama,Draw
22,England v Croatia,Draw
23,Portugal v DR Congo,DR Congo
24,Uzbekistan v Colombia,Draw
25,Czech Republic v South Africa,Czech Republic
26,Switzerland v Bosnia and Herzegovina,Bosnia and Herzegovina
27,Canada v Qatar,Qatar
28,Mexico v South Korea,Draw
29,Brazil v Haiti,Brazil
30,Scotland v Morocco,Draw
31,Turkey v Paraguay,Turkey
32,United States v Australia,Australia
33,Germany v Ivory Coast,Ivory Coast
34,Ecuador v Curaçao,Ecuador
35,Netherlands v Sweden,Sweden
36,Tunisia v Japan,Draw
37,Uruguay v Cape Verde,Draw
38,Spain v Saudi Arabia,Spain
39,Belgium v Iran,Iran
40,New Zealand v Egypt,Egypt
41,Norway v Senegal,Norway
42,France v Iraq,Iraq
43,Argentina v Austria,Austria
44,Jordan v Algeria,Draw
45,England v Ghana,Ghana
46,Panama v Croatia,Draw
47,Portugal v Uzbekistan,Draw
48,Colombia v DR Congo,DR Congo
49,Scotland v Brazil,Brazil
50,Morocco v Haiti,Draw
51,Switzerland v Canada,Canada
52,Bosnia and Herzegovina v Qatar,Bosnia and Herzegovina
53,Czech Republic v Mexico,Draw
54,South Africa v South Korea,Draw
55,Curaçao v Ivory Coast,Curaçao
56,Ecuador v Germany,Germany
57,Japan v Sweden,Sweden
58,Tunisia v Netherlands,Draw
59,Turkey v United States,Turkey
60,Paraguay v Australia,Paraguay
61,Norway v France,Norway
62,Senegal v Iraq,Iraq
63,Egypt v Iran,Iran
64,New Zealand v Belgium,Draw
65,Cape Verde v Saudi Arabia,Saudi Arabia
66,Uruguay v Spain,Spain
67,Panama v England,Draw
68,Croatia v Ghana,Croatia
69,Algeria v Austria,Draw
70,Jordan v Argentina,Argentina
71,Colombia v Portugal,Draw
72,DR Congo v Uzbekistan,DR Congo
