1,Mexico v South Africa,Mexico
2,South Korea v Czech Republic,Draw
3,Canada v Bosnia and Herzegovina,Draw
4,United States v Paraguay,Paraguay
5,Haiti v Scotland,Haiti
6,Australia v Turkey,Draw
7,Brazil v Morocco,Morocco
8,Qatar v Switzerland,Switzerland
9,Ivory Coast v Ecuador,Ecuador
10,Germany v Curaçao,Draw
11,Netherlands v Japan,Draw
12,Sweden v Tunisia,Sweden
13,Saudi Arabia v Uruguay,Uruguay
14,Spain v Cape Verde,Cape Verde
15,Iran v New Zealand,New Zealand
16,Belgium v Egypt,Egypt
17,France v Senegal,Senegal
18,Iraq v Norway,Iraq
19,Argentina v Algeria,Argentina
20,Austria v Jordan,Jordan
21,Ghana v Panama,Ghana
22,England v Croatia,England
23,Portugal v DR Congo,Portugal
24,Uzbekistan v Colombia,Draw
25,Czech Republic v South Africa,Czech Republic
26,Switzerland v Bosnia and Herzegovina,Draw
27,Canada v Qatar,Qatar
28,Mexico v South Korea,Draw
29,Brazil v Haiti,Draw
30,Scotland v Morocco,Scotland
31,Turkey v Paraguay,Paraguay
32,United States v Australia,Australia
33,Germany v Ivory Coast,Draw
34,Ecuador v Curaçao,Curaçao
35,Netherlands v Sweden,Sweden
36,Tunisia v Japan,Japan
37,Uruguay v Cape Verde,Draw
38,Spain v Saudi Arabia,Saudi Arabia
39,Belgium v Iran,Iran
40,New Zealand v Egypt,Draw
41,Norway v Senegal,Norway
42,France v Iraq,Iraq
43,Argentina v Austria,Austria
44,Jordan v Algeria,Algeria
45,England v Ghana,England
46,Panama v Croatia,Draw
47,Portugal v Uzbekistan,Portugal
48,Colombia v DR Congo,Draw
49,Scotland v Brazil,Brazil
50,Morocco v Haiti,Draw
51,Switzerland v Canada,Draw
52,Bosnia and Herzegovina v Qatar,Qatar
53,Czech Republic v Mexico,Mexico
54,South Africa v South Korea,Draw
55,Curaçao v Ivory Coast,Ivory Coast
56,Ecuador v Germany,Ecuador
57,Japan v Sweden,Draw
58,Tunisia v Netherlands,Netherlands
59,Turkey v United States,Turkey
60,Paraguay v Australia,Australia
61,Norway v France,Draw
62,Senegal v Iraq,Senegal
63,Egypt v Iran,Iran
64,New Zealand v Belgium,Belgium
65,Cape Verde v Saudi Arabia,Saudi Arabia
66,Uruguay v Spain,Draw
67,Panama v England,England
68,Croatia v Ghana,Ghana
69,Algeria v Austria,Draw
70,Jordan v Argentina,Draw
71,Colombia v Portugal,Portugal
72,DR Congo v Uzbekistan,DR Congo
