match,group,matchup,pick
1,A,Mexico v South Africa,South Africa
2,A,South Korea v Czech Republic,Draw
3,B,Canada v Bosnia and Herzegovina,Canada
4,D,United States v Paraguay,Paraguay
5,C,Haiti v Scotland,Scotland
6,D,Australia v Turkey,Australia
7,C,Brazil v Morocco,Morocco
8,B,Qatar v Switzerland,Draw
9,E,Ivory Coast v Ecuador,Ivory Coast
10,E,Germany v Curaçao,Germany
11,F,Netherlands v Japan,Netherlands
12,F,Sweden v Tunisia,Draw
13,H,Saudi Arabia v Uruguay,Draw
14,H,Spain v Cape Verde,Draw
15,G,Iran v New Zealand,New Zealand
16,G,Belgium v Egypt,Egypt
17,I,France v Senegal,Draw
18,I,Iraq v Norway,Draw
19,J,Argentina v Algeria,Draw
20,J,Austria v Jordan,Austria
21,L,Ghana v Panama,Panama
22,L,England v Croatia,England
23,K,Portugal v DR Congo,Portugal
24,K,Uzbekistan v Colombia,Uzbekistan
25,A,Czech Republic v South Africa,Czech Republic
26,B,Switzerland v Bosnia and Herzegovina,Bosnia and Herzegovina
27,B,Canada v Qatar,Draw
28,A,Mexico v South Korea,Mexico
29,C,Brazil v Haiti,Haiti
30,C,Scotland v Morocco,Morocco
31,D,Turkey v Paraguay,Turkey
32,D,United States v Australia,United States
33,E,Germany v Ivory Coast,Germany
34,E,Ecuador v Curaçao,Draw
35,F,Netherlands v Sweden,Sweden
36,F,Tunisia v Japan,Tunisia
37,H,Uruguay v Cape Verde,Draw
38,H,Spain v Saudi Arabia,Saudi Arabia
39,G,Belgium v Iran,Belgium
40,G,New Zealand v Egypt,New Zealand
41,I,Norway v Senegal,Norway
42,I,France v Iraq,Iraq
43,J,Argentina v Austria,Argentina
44,J,Jordan v Algeria,Draw
45,L,England v Ghana,Ghana
46,L,Panama v Croatia,Draw
47,K,Portugal v Uzbekistan,Portugal
48,K,Colombia v DR Congo,Draw
49,C,Scotland v Brazil,Scotland
50,C,Morocco v Haiti,Morocco
51,B,Switzerland v Canada,Draw
52,B,Bosnia and Herzegovina v Qatar,Qatar
53,A,Czech Republic v Mexico,Draw
54,A,South Africa v South Korea,Draw
55,E,Curaçao v Ivory Coast,Curaçao
56,E,Ecuador v Germany,Ecuador
57,F,Japan v Sweden,Sweden
58,F,Tunisia v Netherlands,Netherlands
59,D,Turkey v United States,Turkey
60,D,Paraguay v Australia,Paraguay
61,I,Norway v France,France
62,I,Senegal v Iraq,Senegal
63,G,Egypt v Iran,Iran
64,G,New Zealand v Belgium,New Zealand
65,H,Cape Verde v Saudi Arabia,Saudi Arabia
66,H,Uruguay v Spain,Draw
67,L,Panama v England,England
68,L,Croatia v Ghana,Ghana
69,J,Algeria v Austria,Draw
70,J,Jordan v Argentina,Jordan
71,K,Colombia v Portugal,Draw
72,K,DR Congo v Uzbekistan,Uzbekistan
