1,Mexico v South Africa,Mexico
2,South Korea v Czech Republic,Czech Republic
3,Canada v Bosnia and Herzegovina,Bosnia and Herzegovina
4,United States v Paraguay,Draw
5,Haiti v Scotland,Haiti
6,Australia v Turkey,Australia
7,Brazil v Morocco,Morocco
8,Qatar v Switzerland,Qatar
9,Ivory Coast v Ecuador,Ivory Coast
10,Germany v Curaçao,Curaçao
11,Netherlands v Japan,Japan
12,Sweden v Tunisia,Sweden
13,Saudi Arabia v Uruguay,Draw
14,Spain v Cape Verde,Cape Verde
15,Iran v New Zealand,New Zealand
16,Belgium v Egypt,Draw
17,France v Senegal,Draw
18,Iraq v Norway,Norway
19,Argentina v Algeria,Algeria
20,Austria v Jordan,Draw
21,Ghana v Panama,Panama
22,England v Croatia,Draw
23,Portugal v DR Congo,Portugal
24,Uzbekistan v Colombia,Colombia
25,Czech Republic v South Africa,South Africa
26,Switzerland v Bosnia and Herzegovina,Bosnia and Herzegovina
27,Canada v Qatar,Canada
28,Mexico v South Korea,Mexico
29,Brazil v Haiti,Draw
30,Scotland v Morocco,Draw
31,Turkey v Paraguay,Draw
32,United States v Australia,Australia
33,Germany v Ivory Coast,Germany
34,Ecuador v Curaçao,Curaçao
35,Netherlands v Sweden,Sweden
36,Tunisia v Japan,Draw
37,Uruguay v Cape Verde,Draw
38,Spain v Saudi Arabia,Saudi Arabia
39,Belgium v Iran,Draw
40,New Zealand v Egypt,Draw
41,Norway v Senegal,Draw
42,France v Iraq,Draw
43,Argentina v Austria,Argentina
44,Jordan v Algeria,Draw
45,England v Ghana,Ghana
46,Panama v Croatia,Draw
47,Portugal v Uzbekistan,Draw
48,Colombia v DR Congo,DR Congo
49,Scotland v Brazil,Draw
50,Morocco v Haiti,Draw
51,Switzerland v Canada,Draw
52,Bosnia and Herzegovina v Qatar,Qatar
53,Czech Republic v Mexico,Czech Republic
54,South Africa v South Korea,Draw
55,Curaçao v Ivory Coast,Curaçao
56,Ecuador v Germany,Germany
57,Japan v Sweden,Sweden
58,Tunisia v Netherlands,Draw
59,Turkey v United States,United States
60,Paraguay v Australia,Paraguay
61,Norway v France,Draw
62,Senegal v Iraq,Senegal
63,Egypt v Iran,Iran
64,New Zealand v Belgium,New Zealand
65,Cape Verde v Saudi Arabia,Cape Verde
66,Uruguay v Spain,Draw
67,Panama v England,Panama
68,Croatia v Ghana,Ghana
69,Algeria v Austria,Austria
70,Jordan v Argentina,Draw
71,Colombia v Portugal,Draw
72,DR Congo v Uzbekistan,DR Congo
