match,group,matchup,pick
1,A,Mexico v South Africa,South Africa
2,A,South Korea v Czech Republic,Draw
3,B,Canada v Bosnia and Herzegovina,Bosnia and Herzegovina
4,D,United States v Paraguay,Draw
5,C,Haiti v Scotland,Scotland
6,D,Australia v Turkey,Australia
7,C,Brazil v Morocco,Draw
8,B,Qatar v Switzerland,Qatar
9,E,Ivory Coast v Ecuador,Ivory Coast
10,E,Germany v Curaçao,Draw
11,F,Netherlands v Japan,Japan
12,F,Sweden v Tunisia,Tunisia
13,H,Saudi Arabia v Uruguay,Uruguay
14,H,Spain v Cape Verde,Spain
15,G,Iran v New Zealand,Iran
16,G,Belgium v Egypt,Belgium
17,I,France v Senegal,Senegal
18,I,Iraq v Norway,Norway
19,J,Argentina v Algeria,Algeria
20,J,Austria v Jordan,Austria
21,L,Ghana v Panama,Panama
22,L,England v Croatia,England
23,K,Portugal v DR Congo,Portugal
24,K,Uzbekistan v Colombia,Colombia
25,A,Czech Republic v South Africa,Draw
26,B,Switzerland v Bosnia and Herzegovina,Bosnia and Herzegovina
27,B,Canada v Qatar,Canada
28,A,Mexico v South Korea,Draw
29,C,Brazil v Haiti,Draw
30,C,Scotland v Morocco,Scotland
31,D,Turkey v Paraguay,Turkey
32,D,United States v Australia,United States
33,E,Germany v Ivory Coast,Germany
34,E,Ecuador v Curaçao,Draw
35,F,Netherlands v Sweden,Sweden
36,F,Tunisia v Japan,Tunisia
37,H,Uruguay v Cape Verde,Draw
38,H,Spain v Saudi Arabia,Draw
39,G,Belgium v Iran,Belgium
40,G,New Zealand v Egypt,Draw
41,I,Norway v Senegal,Draw
42,I,France v Iraq,Draw
43,J,Argentina v Austria,Argentina
44,J,Jordan v Algeria,Jordan
45,L,England v Ghana,Draw
46,L,Panama v Croatia,Draw
47,K,Portugal v Uzbekistan,Uzbekistan
48,K,Colombia v DR Congo,Draw
49,C,Scotland v Brazil,Brazil
50,C,Morocco v Haiti,Haiti
51,B,Switzerland v Canada,Switzerland
52,B,Bosnia and Herzegovina v Qatar,Draw
53,A,Czech Republic v Mexico,Mexico
54,A,South Africa v South Korea,South Africa
55,E,Curaçao v Ivory Coast,Ivory Coast
56,E,Ecuador v Germany,Draw
57,F,Japan v Sweden,Sweden
58,F,Tunisia v Netherlands,Tunisia
59,D,Turkey v United States,Turkey
60,D,Paraguay v Australia,Draw
61,I,Norway v France,Draw
62,I,Senegal v Iraq,Draw
63,G,Egypt v Iran,Iran
64,G,New Zealand v Belgium,Belgium
65,H,Cape Verde v Saudi Arabia,Saudi Arabia
66,H,Uruguay v Spain,Draw
67,L,Panama v England,Panama
68,L,Croatia v Ghana,Ghana
69,J,Algeria v Austria,Draw
70,J,Jordan v Argentina,Jordan
71,K,Colombia v Portugal,Draw
72,K,DR Congo v Uzbekistan,DR Congo
