match,group,matchup,pick
1,A,Mexico v South Africa,Draw
2,A,South Korea v Czech Republic,South Korea
3,B,Canada v Bosnia and Herzegovina,Bosnia and Herzegovina
4,D,United States v Paraguay,Paraguay
5,C,Haiti v Scotland,Draw
6,D,Australia v Turkey,Australia
7,C,Brazil v Morocco,Morocco
8,B,Qatar v Switzerland,Switzerland
9,E,Ivory Coast v Ecuador,Ivory Coast
10,E,Germany v Curaçao,Germany
11,F,Netherlands v Japan,Netherlands
12,F,Sweden v Tunisia,Sweden
13,H,Saudi Arabia v Uruguay,Saudi Arabia
14,H,Spain v Cape Verde,Cape Verde
15,G,Iran v New Zealand,New Zealand
16,G,Belgium v Egypt,Belgium
17,I,France v Senegal,Senegal
18,I,Iraq v Norway,Draw
19,J,Argentina v Algeria,Argentina
20,J,Austria v Jordan,Jordan
21,L,Ghana v Panama,Panama
22,L,England v Croatia,Croatia
23,K,Portugal v DR Congo,Portugal
24,K,Uzbekistan v Colombia,Colombia
25,A,Czech Republic v South Africa,South Africa
26,B,Switzerland v Bosnia and Herzegovina,Switzerland
27,B,Canada v Qatar,Qatar
28,A,Mexico v South Korea,Draw
29,C,Brazil v Haiti,Haiti
30,C,Scotland v Morocco,Morocco
31,D,Turkey v Paraguay,Draw
32,D,United States v Australia,Australia
33,E,Germany v Ivory Coast,Draw
34,E,Ecuador v Curaçao,Curaçao
35,F,Netherlands v Sweden,Sweden
36,F,Tunisia v Japan,Tunisia
37,H,Uruguay v Cape Verde,Cape Verde
38,H,Spain v Saudi Arabia,Saudi Arabia
39,G,Belgium v Iran,Belgium
40,G,New Zealand v Egypt,Egypt
41,I,Norway v Senegal,Draw
42,I,France v Iraq,Iraq
43,J,Argentina v Austria,Argentina
44,J,Jordan v Algeria,Draw
45,L,England v Ghana,Ghana
46,L,Panama v Croatia,Draw
47,K,Portugal v Uzbekistan,Portugal
48,K,Colombia v DR Congo,Draw
49,C,Scotland v Brazil,Scotland
50,C,Morocco v Haiti,Morocco
51,B,Switzerland v Canada,Draw
52,B,Bosnia and Herzegovina v Qatar,Draw
53,A,Czech Republic v Mexico,Draw
54,A,South Africa v South Korea,South Korea
55,E,Curaçao v Ivory Coast,Draw
56,E,Ecuador v Germany,Ecuador
57,F,Japan v Sweden,Draw
58,F,Tunisia v Netherlands,Draw
59,D,Turkey v United States,Draw
60,D,Paraguay v Australia,Draw
61,I,Norway v France,Draw
62,I,Senegal v Iraq,Draw
63,G,Egypt v Iran,Iran
64,G,New Zealand v Belgium,Draw
65,H,Cape Verde v Saudi Arabia,Saudi Arabia
66,H,Uruguay v Spain,Draw
67,L,Panama v England,Draw
68,L,Croatia v Ghana,Croatia
69,J,Algeria v Austria,Draw
70,J,Jordan v Argentina,Jordan
71,K,Colombia v Portugal,Colombia
72,K,DR Congo v Uzbekistan,Draw
