match,group,matchup,pick
1,A,Mexico v South Africa,Mexico
2,A,South Korea v Czech Republic,Draw
3,B,Canada v Bosnia and Herzegovina,Canada
4,D,United States v Paraguay,Paraguay
5,C,Haiti v Scotland,Scotland
6,D,Australia v Turkey,Turkey
7,C,Brazil v Morocco,Draw
8,B,Qatar v Switzerland,Switzerland
9,E,Ivory Coast v Ecuador,Ecuador
10,E,Germany v Curaçao,Curaçao
11,F,Netherlands v Japan,Japan
12,F,Sweden v Tunisia,Sweden
13,H,Saudi Arabia v Uruguay,Saudi Arabia
14,H,Spain v Cape Verde,Spain
15,G,Iran v New Zealand,Iran
16,G,Belgium v Egypt,Belgium
17,I,France v Senegal,Senegal
18,I,Iraq v Norway,Iraq
19,J,Argentina v Algeria,Argentina
20,J,Austria v Jordan,Austria
21,L,Ghana v Panama,Ghana
22,L,England v Croatia,Draw
23,K,Portugal v DR Congo,DR Congo
24,K,Uzbekistan v Colombia,Uzbekistan
25,A,Czech Republic v South Africa,South Africa
26,B,Switzerland v Bosnia and Herzegovina,Bosnia and Herzegovina
27,B,Canada v Qatar,Canada
28,A,Mexico v South Korea,South Korea
29,C,Brazil v Haiti,Draw
30,C,Scotland v Morocco,Draw
31,D,Turkey v Paraguay,Draw
32,D,United States v Australia,Australia
33,E,Germany v Ivory Coast,Germany
34,E,Ecuador v Curaçao,Draw
35,F,Netherlands v Sweden,Netherlands
36,F,Tunisia v Japan,Tunisia
37,H,Uruguay v Cape Verde,Uruguay
38,H,Spain v Saudi Arabia,Spain
39,G,Belgium v Iran,Belgium
40,G,New Zealand v Egypt,Draw
41,I,Norway v Senegal,Norway
42,I,France v Iraq,Draw
43,J,Argentina v Austria,Austria
44,J,Jordan v Algeria,Draw
45,L,England v Ghana,Draw
46,L,Panama v Croatia,Draw
47,K,Portugal v Uzbekistan,Draw
48,K,Colombia v DR Congo,Draw
49,C,Scotland v Brazil,Draw
50,C,Morocco v Haiti,Haiti
51,B,Switzerland v Canada,Canada
52,B,Bosnia and Herzegovina v Qatar,Qatar
53,A,Czech Republic v Mexico,Czech Republic
54,A,South Africa v South Korea,South Korea
55,E,Curaçao v Ivory Coast,Curaçao
56,E,Ecuador v Germany,Germany
57,F,Japan v Sweden,Sweden
58,F,Tunisia v Netherlands,Netherlands
59,D,Turkey v United States,Draw
60,D,Paraguay v Australia,Draw
61,I,Norway v France,Norway
62,I,Senegal v Iraq,Iraq
63,G,Egypt v Iran,Draw
64,G,New Zealand v Belgium,Belgium
65,H,Cape Verde v Saudi Arabia,Draw
66,H,Uruguay v Spain,Spain
67,L,Panama v England,Panama
68,L,Croatia v Ghana,Draw
69,J,Algeria v Austria,Draw
70,J,Jordan v Argentina,Jordan
71,K,Colombia v Portugal,Colombia
72,K,DR Congo v Uzbekistan,DR Congo
