1,Mexico v South Africa,Draw
2,South Korea v Czech Republic,Draw
3,Canada v Bosnia and Herzegovina,Draw
4,United States v Paraguay,United States
5,Haiti v Scotland,Haiti
6,Australia v Turkey,Turkey
7,Brazil v Morocco,Draw
8,Qatar v Switzerland,Qatar
9,Ivory Coast v Ecuador,Draw
10,Germany v Curaçao,Draw
11,Netherlands v Japan,Netherlands
12,Sweden v Tunisia,Tunisia
13,Saudi Arabia v Uruguay,Draw
14,Spain v Cape Verde,Draw
15,Iran v New Zealand,New Zealand
16,Belgium v Egypt,Draw
17,France v Senegal,Senegal
18,Iraq v Norway,Draw
19,Argentina v Algeria,Draw
20,Austria v Jordan,Austria
21,Ghana v Panama,Ghana
22,England v Croatia,Croatia
23,Portugal v DR Congo,Draw
24,Uzbekistan v Colombia,Draw
25,Czech Republic v South Africa,South Africa
26,Switzerland v Bosnia and Herzegovina,Draw
27,Canada v Qatar,Qatar
28,Mexico v South Korea,South Korea
29,Brazil v Haiti,Brazil
30,Scotland v Morocco,Scotland
31,Turkey v Paraguay,Draw
32,United States v Australia,United States
33,Germany v Ivory Coast,Ivory Coast
34,Ecuador v Curaçao,Ecuador
35,Netherlands v Sweden,Draw
36,Tunisia v Japan,Tunisia
37,Uruguay v Cape Verde,Draw
38,Spain v Saudi Arabia,Saudi Arabia
39,Belgium v Iran,Belgium
40,New Zealand v Egypt,New Zealand
41,Norway v Senegal,Senegal
42,France v Iraq,Draw
43,Argentina v Austria,Draw
44,Jordan v Algeria,Jordan
45,England v Ghana,Ghana
46,Panama v Croatia,Panama
47,Portugal v Uzbekistan,Portugal
48,Colombia v DR Congo,DR Congo
49,Scotland v Brazil,Brazil
50,Morocco v Haiti,Morocco
51,Switzerland v Canada,Canada
52,Bosnia and Herzegovina v Qatar,Bosnia and Herzegovina
53,Czech Republic v Mexico,Draw
54,South Africa v South Korea,Draw
55,Curaçao v Ivory Coast,Draw
56,Ecuador v Germany,Germany
57,Japan v Sweden,Sweden
58,Tunisia v Netherlands,Netherlands
59,Turkey v United States,Draw
60,Paraguay v Australia,Paraguay
61,Norway v France,Draw
62,Senegal v Iraq,Iraq
63,Egypt v Iran,Egypt
64,New Zealand v Belgium,New Zealand
65,Cape Verde v Saudi Arabia,Draw
66,Uruguay v Spain,Spain
67,Panama v England,England
68,Croatia v Ghana,Ghana
69,Algeria v Austria,Draw
70,Jordan v Argentina,Jordan
71,Colombia v Portugal,Portugal
72,DR Congo v Uzbekistan,Uzbekistan
