match,group,matchup,pick
1,A,Mexico v South Africa,Draw
2,A,South Korea v Czech Republic,Czech Republic
3,B,Canada v Bosnia and Herzegovina,Bosnia and Herzegovina
4,D,United States v Paraguay,Draw
5,C,Haiti v Scotland,Scotland
6,D,Australia v Turkey,Australia
7,C,Brazil v Morocco,Draw
8,B,Qatar v Switzerland,Draw
9,E,Ivory Coast v Ecuador,Ivory Coast
10,E,Germany v Curaçao,Germany
11,F,Netherlands v Japan,Draw
12,F,Sweden v Tunisia,Tunisia
13,H,Saudi Arabia v Uruguay,Saudi Arabia
14,H,Spain v Cape Verde,Cape Verde
15,G,Iran v New Zealand,New Zealand
16,G,Belgium v Egypt,Belgium
17,I,France v Senegal,Senegal
18,I,Iraq v Norway,Draw
19,J,Argentina v Algeria,Draw
20,J,Austria v Jordan,Austria
21,L,Ghana v Panama,Draw
22,L,England v Croatia,Croatia
23,K,Portugal v DR Congo,DR Congo
24,K,Uzbekistan v Colombia,Draw
25,A,Czech Republic v South Africa,Draw
26,B,Switzerland v Bosnia and Herzegovina,Draw
27,B,Canada v Qatar,Draw
28,A,Mexico v South Korea,Draw
29,C,Brazil v Haiti,Brazil
30,C,Scotland v Morocco,Draw
31,D,Turkey v Paraguay,Turkey
32,D,United States v Australia,Draw
33,E,Germany v Ivory Coast,Draw
34,E,Ecuador v Curaçao,Draw
35,F,Netherlands v Sweden,Sweden
36,F,Tunisia v Japan,Japan
37,H,Uruguay v Cape Verde,Uruguay
38,H,Spain v Saudi Arabia,Draw
39,G,Belgium v Iran,Belgium
40,G,New Zealand v Egypt,Egypt
41,I,Norway v Senegal,Draw
42,I,France v Iraq,France
43,J,Argentina v Austria,Argentina
44,J,Jordan v Algeria,Jordan
45,L,England v Ghana,Draw
46,L,Panama v Croatia,Panama
47,K,Portugal v Uzbekistan,Draw
48,K,Colombia v DR Congo,DR Congo
49,C,Scotland v Brazil,Draw
50,C,Morocco v Haiti,Draw
51,B,Switzerland v Canada,Switzerland
52,B,Bosnia and Herzegovina v Qatar,Bosnia and Herzegovina
53,A,Czech Republic v Mexico,Czech Republic
54,A,South Africa v South Korea,South Africa
55,E,Curaçao v Ivory Coast,Ivory Coast
56,E,Ecuador v Germany,Draw
57,F,Japan v Sweden,Draw
58,F,Tunisia v Netherlands,Draw
59,D,Turkey v United States,Draw
60,D,Paraguay v Australia,Paraguay
61,I,Norway v France,Norway
62,I,Senegal v Iraq,Draw
63,G,Egypt v Iran,Draw
64,G,New Zealand v Belgium,New Zealand
65,H,Cape Verde v Saudi Arabia,Draw
66,H,Uruguay v Spain,Draw
67,L,Panama v England,Draw
68,L,Croatia v Ghana,Draw
69,J,Algeria v Austria,Algeria
70,J,Jordan v Argentina,Argentina
71,K,Colombia v Portugal,Portugal
72,K,DR Congo v Uzbekistan,Draw
