match,round,matchup,pick
73,R32,Brazil v Morocco,Morocco
74,R32,France v Norway,France
75,R32,Spain v Ecuador,Spain
76,R32,Germany v Switzerland,Germany
77,R32,Argentina v Mexico,Mexico
78,R32,Netherlands v Senegal,Senegal
79,R32,England v Ivory Coast,Ivory Coast
80,R32,Portugal v Colombia,Colombia
81,R32,Belgium v United States,Belgium
82,R32,Croatia v Japan,Croatia
83,R32,South Korea v Saudi Arabia,South Korea
84,R32,Uruguay v Egypt,Uruguay
85,R32,Turkey v Canada,Turkey
86,R32,Austria v Sweden,Austria
87,R32,Tunisia v Ghana,Ghana
88,R32,Panama v Australia,Australia
89,R16,France v Mexico,Mexico
90,R16,Morocco v Spain,Morocco
91,R16,Germany v Senegal,Germany
92,R16,Ivory Coast v Colombia,Colombia
93,R16,South Korea v Uruguay,South Korea
94,R16,Belgium v Croatia,Belgium
95,R16,Austria v Australia,Austria
96,R16,Turkey v Ghana,Ghana
97,QF,Mexico v Morocco,Morocco
98,QF,South Korea v Belgium,South Korea
99,QF,Germany v Colombia,Germany
100,QF,Austria v Ghana,Ghana
101,SF,Morocco v South Korea,Morocco
102,SF,Germany v Ghana,Ghana
103,3rd,South Korea v Germany,South Korea
104,Final,Morocco v Ghana,Ghana
