match,round,matchup,pick
73,R32,Brazil v Morocco,Morocco
74,R32,France v Norway,Norway
75,R32,Spain v Ecuador,Ecuador
76,R32,Germany v Switzerland,Germany
77,R32,Argentina v Mexico,Argentina
78,R32,Netherlands v Senegal,Senegal
79,R32,England v Ivory Coast,England
80,R32,Portugal v Colombia,Portugal
81,R32,Belgium v United States,United States
82,R32,Croatia v Japan,Croatia
83,R32,South Korea v Saudi Arabia,Saudi Arabia
84,R32,Uruguay v Egypt,Egypt
85,R32,Turkey v Canada,Turkey
86,R32,Austria v Sweden,Austria
87,R32,Tunisia v Ghana,Ghana
88,R32,Panama v Australia,Panama
89,R16,Norway v Argentina,Norway
90,R16,Morocco v Ecuador,Morocco
91,R16,Germany v Senegal,Germany
92,R16,England v Portugal,Portugal
93,R16,Saudi Arabia v Egypt,Saudi Arabia
94,R16,United States v Croatia,Croatia
95,R16,Austria v Panama,Panama
96,R16,Turkey v Ghana,Turkey
97,QF,Norway v Morocco,Norway
98,QF,Saudi Arabia v Croatia,Croatia
99,QF,Germany v Portugal,Portugal
100,QF,Panama v Turkey,Turkey
101,SF,Norway v Croatia,Norway
102,SF,Portugal v Turkey,Turkey
103,3rd,Croatia v Portugal,Croatia
104,Final,Norway v Turkey,Norway
