match,round,matchup,pick
73,R32,Brazil v Morocco,Morocco
74,R32,France v Norway,Norway
75,R32,Spain v Ecuador,Ecuador
76,R32,Germany v Switzerland,Germany
77,R32,Argentina v Mexico,Argentina
78,R32,Netherlands v Senegal,Netherlands
79,R32,England v Ivory Coast,Ivory Coast
80,R32,Portugal v Colombia,Portugal
81,R32,Belgium v United States,United States
82,R32,Croatia v Japan,Japan
83,R32,South Korea v Saudi Arabia,South Korea
84,R32,Uruguay v Egypt,Uruguay
85,R32,Turkey v Canada,Canada
86,R32,Austria v Sweden,Austria
87,R32,Tunisia v Ghana,Tunisia
88,R32,Panama v Australia,Australia
89,R16,Norway v Argentina,Argentina
90,R16,Morocco v Ecuador,Morocco
91,R16,Germany v Netherlands,Netherlands
92,R16,Ivory Coast v Portugal,Ivory Coast
93,R16,South Korea v Uruguay,South Korea
94,R16,United States v Japan,Japan
95,R16,Austria v Australia,Australia
96,R16,Canada v Tunisia,Canada
97,QF,Argentina v Morocco,Morocco
98,QF,South Korea v Japan,South Korea
99,QF,Netherlands v Ivory Coast,Ivory Coast
100,QF,Australia v Canada,Canada
101,SF,Morocco v South Korea,Morocco
102,SF,Ivory Coast v Canada,Canada
103,3rd,South Korea v Ivory Coast,South Korea
104,Final,Morocco v Canada,Canada
