match,round,matchup,pick
73,R32,Brazil v Morocco,Morocco
74,R32,France v Norway,France
75,R32,Spain v Ecuador,Ecuador
76,R32,Germany v Switzerland,Switzerland
77,R32,Argentina v Mexico,Mexico
78,R32,Netherlands v Senegal,Netherlands
79,R32,England v Ivory Coast,Ivory Coast
80,R32,Portugal v Colombia,Portugal
81,R32,Belgium v United States,United States
82,R32,Croatia v Japan,Japan
83,R32,South Korea v Saudi Arabia,South Korea
84,R32,Uruguay v Egypt,Uruguay
85,R32,Turkey v Canada,Turkey
86,R32,Austria v Sweden,Sweden
87,R32,Tunisia v Ghana,Ghana
88,R32,Panama v Australia,Panama
89,R16,France v Mexico,France
90,R16,Morocco v Ecuador,Ecuador
91,R16,Switzerland v Netherlands,Netherlands
92,R16,Ivory Coast v Portugal,Ivory Coast
93,R16,South Korea v Uruguay,Uruguay
94,R16,United States v Japan,United States
95,R16,Sweden v Panama,Panama
96,R16,Turkey v Ghana,Turkey
97,QF,France v Ecuador,France
98,QF,Uruguay v United States,United States
99,QF,Netherlands v Ivory Coast,Ivory Coast
100,QF,Panama v Turkey,Turkey
101,SF,France v United States,France
102,SF,Ivory Coast v Turkey,Ivory Coast
103,3rd,United States v Turkey,United States
104,Final,France v Ivory Coast,France
