match,round,matchup,pick
73,R32,Brazil v Morocco,Brazil
74,R32,France v Norway,Norway
75,R32,Spain v Ecuador,Ecuador
76,R32,Germany v Switzerland,Germany
77,R32,Argentina v Mexico,Argentina
78,R32,Netherlands v Senegal,Senegal
79,R32,England v Ivory Coast,England
80,R32,Portugal v Colombia,Colombia
81,R32,Belgium v United States,United States
82,R32,Croatia v Japan,Japan
83,R32,South Korea v Saudi Arabia,Saudi Arabia
84,R32,Uruguay v Egypt,Egypt
85,R32,Turkey v Canada,Canada
86,R32,Austria v Sweden,Austria
87,R32,Tunisia v Ghana,Ghana
88,R32,Panama v Australia,Panama
89,R16,Norway v Argentina,Norway
90,R16,Brazil v Ecuador,Ecuador
91,R16,Germany v Senegal,Germany
92,R16,England v Colombia,Colombia
93,R16,Saudi Arabia v Egypt,Egypt
94,R16,United States v Japan,United States
95,R16,Austria v Panama,Panama
96,R16,Canada v Ghana,Canada
97,QF,Norway v Ecuador,Ecuador
98,QF,Egypt v United States,United States
99,QF,Germany v Colombia,Germany
100,QF,Panama v Canada,Canada
101,SF,Ecuador v United States,Ecuador
102,SF,Germany v Canada,Germany
103,3rd,United States v Canada,Canada
104,Final,Ecuador v Germany,Germany
