match,round,matchup,pick
73,R32,Brazil v Morocco,Brazil
74,R32,France v Norway,France
75,R32,Spain v Ecuador,Spain
76,R32,Germany v Switzerland,Switzerland
77,R32,Argentina v Mexico,Mexico
78,R32,Netherlands v Senegal,Netherlands
79,R32,England v Ivory Coast,Ivory Coast
80,R32,Portugal v Colombia,Portugal
81,R32,Belgium v United States,United States
82,R32,Croatia v Japan,Croatia
83,R32,South Korea v Saudi Arabia,South Korea
84,R32,Uruguay v Egypt,Egypt
85,R32,Turkey v Canada,Turkey
86,R32,Austria v Sweden,Austria
87,R32,Tunisia v Ghana,Ghana
88,R32,Panama v Australia,Australia
89,R16,France v Mexico,France
90,R16,Brazil v Spain,Spain
91,R16,Switzerland v Netherlands,Netherlands
92,R16,Ivory Coast v Portugal,Portugal
93,R16,South Korea v Egypt,South Korea
94,R16,United States v Croatia,Croatia
95,R16,Austria v Australia,Austria
96,R16,Turkey v Ghana,Ghana
97,QF,France v Spain,France
98,QF,South Korea v Croatia,South Korea
99,QF,Netherlands v Portugal,Portugal
100,QF,Austria v Ghana,Austria
101,SF,France v South Korea,France
102,SF,Portugal v Austria,Austria
103,3rd,South Korea v Portugal,Portugal
104,Final,France v Austria,France
