match,round,matchup,pick
73,R32,Brazil v Morocco,Morocco
74,R32,France v Norway,Norway
75,R32,Spain v Ecuador,Spain
76,R32,Germany v Switzerland,Switzerland
77,R32,Argentina v Mexico,Argentina
78,R32,Netherlands v Senegal,Senegal
79,R32,England v Ivory Coast,Ivory Coast
80,R32,Portugal v Colombia,Colombia
81,R32,Belgium v United States,United States
82,R32,Croatia v Japan,Japan
83,R32,South Korea v Saudi Arabia,South Korea
84,R32,Uruguay v Egypt,Egypt
85,R32,Turkey v Canada,Turkey
86,R32,Austria v Sweden,Sweden
87,R32,Tunisia v Ghana,Tunisia
88,R32,Panama v Australia,Panama
89,R16,Norway v Argentina,Norway
90,R16,Morocco v Spain,Spain
91,R16,Switzerland v Senegal,Senegal
92,R16,Ivory Coast v Colombia,Colombia
93,R16,South Korea v Egypt,South Korea
94,R16,United States v Japan,United States
95,R16,Sweden v Panama,Sweden
96,R16,Turkey v Tunisia,Turkey
97,QF,Norway v Spain,Norway
98,QF,South Korea v United States,United States
99,QF,Senegal v Colombia,Colombia
100,QF,Sweden v Turkey,Sweden
101,SF,Norway v United States,United States
102,SF,Colombia v Sweden,Colombia
103,3rd,Norway v Sweden,Sweden
104,Final,United States v Colombia,United States
