match,round,matchup,pick
73,R32,Brazil v Morocco,Morocco
74,R32,France v Norway,Norway
75,R32,Spain v Ecuador,Spain
76,R32,Germany v Switzerland,Germany
77,R32,Argentina v Mexico,Mexico
78,R32,Netherlands v Senegal,Netherlands
79,R32,England v Ivory Coast,Ivory Coast
80,R32,Portugal v Colombia,Colombia
81,R32,Belgium v United States,United States
82,R32,Croatia v Japan,Japan
83,R32,South Korea v Saudi Arabia,South Korea
84,R32,Uruguay v Egypt,Uruguay
85,R32,Turkey v Canada,Canada
86,R32,Austria v Sweden,Sweden
87,R32,Tunisia v Ghana,Ghana
88,R32,Panama v Australia,Australia
89,R16,Norway v Mexico,Norway
90,R16,Morocco v Spain,Morocco
91,R16,Germany v Netherlands,Netherlands
92,R16,Ivory Coast v Colombia,Ivory Coast
93,R16,South Korea v Uruguay,Uruguay
94,R16,United States v Japan,United States
95,R16,Sweden v Australia,Sweden
96,R16,Canada v Ghana,Canada
97,QF,Norway v Morocco,Norway
98,QF,Uruguay v United States,Uruguay
99,QF,Netherlands v Ivory Coast,Netherlands
100,QF,Sweden v Canada,Sweden
101,SF,Norway v Uruguay,Norway
102,SF,Netherlands v Sweden,Netherlands
103,3rd,Uruguay v Sweden,Sweden
104,Final,Norway v Netherlands,Norway
