1,Mexico v South Africa,Draw
2,South Korea v Czech Republic,South Korea
3,Canada v Bosnia and Herzegovina,Bosnia and Herzegovina
4,United States v Paraguay,Draw
5,Haiti v Scotland,Draw
6,Australia v Turkey,Draw
7,Brazil v Morocco,Draw
8,Qatar v Switzerland,Qatar
9,Ivory Coast v Ecuador,Draw
10,Germany v Curaçao,Curaçao
11,Netherlands v Japan,Draw
12,Sweden v Tunisia,Tunisia
13,Saudi Arabia v Uruguay,Uruguay
14,Spain v Cape Verde,Draw
15,Iran v New Zealand,New Zealand
16,Belgium v Egypt,Egypt
17,France v Senegal,Draw
18,Iraq v Norway,Draw
19,Argentina v Algeria,Argentina
20,Austria v Jordan,Austria
21,Ghana v Panama,Ghana
22,England v Croatia,Draw
23,Portugal v DR Congo,Draw
24,Uzbekistan v Colombia,Draw
25,Czech Republic v South Africa,South Africa
26,Switzerland v Bosnia and Herzegovina,Draw
27,Canada v Qatar,Qatar
28,Mexico v South Korea,South Korea
29,Brazil v Haiti,Draw
30,Scotland v Morocco,Scotland
31,Turkey v Paraguay,Draw
32,United States v Australia,United States
33,Germany v Ivory Coast,Draw
34,Ecuador v Curaçao,Ecuador
35,Netherlands v Sweden,Netherlands
36,Tunisia v Japan,Draw
37,Uruguay v Cape Verde,Cape Verde
38,Spain v Saudi Arabia,Spain
39,Belgium v Iran,Belgium
40,New Zealand v Egypt,Egypt
41,Norway v Senegal,Norway
42,France v Iraq,Iraq
43,Argentina v Austria,Draw
44,Jordan v Algeria,Jordan
45,England v Ghana,England
46,Panama v Croatia,Panama
47,Portugal v Uzbekistan,Draw
48,Colombia v DR Congo,Colombia
49,Scotland v Brazil,Brazil
50,Morocco v Haiti,Haiti
51,Switzerland v Canada,Canada
52,Bosnia and Herzegovina v Qatar,Draw
53,Czech Republic v Mexico,Draw
54,South Africa v South Korea,South Korea
55,Curaçao v Ivory Coast,Draw
56,Ecuador v Germany,Draw
57,Japan v Sweden,Japan
58,Tunisia v Netherlands,Netherlands
59,Turkey v United States,Turkey
60,Paraguay v Australia,Paraguay
61,Norway v France,Draw
62,Senegal v Iraq,Draw
63,Egypt v Iran,Iran
64,New Zealand v Belgium,New Zealand
65,Cape Verde v Saudi Arabia,Cape Verde
66,Uruguay v Spain,Spain
67,Panama v England,England
68,Croatia v Ghana,Draw
69,Algeria v Austria,Algeria
70,Jordan v Argentina,Jordan
71,Colombia v Portugal,Colombia
72,DR Congo v Uzbekistan,DR Congo
