1,Mexico v South Africa,Mexico
2,South Korea v Czech Republic,Czech Republic
3,Canada v Bosnia and Herzegovina,Bosnia and Herzegovina
4,United States v Paraguay,Draw
5,Haiti v Scotland,Scotland
6,Australia v Turkey,Draw
7,Brazil v Morocco,Morocco
8,Qatar v Switzerland,Switzerland
9,Ivory Coast v Ecuador,Draw
10,Germany v Curaçao,Draw
11,Netherlands v Japan,Draw
12,Sweden v Tunisia,Sweden
13,Saudi Arabia v Uruguay,Draw
14,Spain v Cape Verde,Spain
15,Iran v New Zealand,Draw
16,Belgium v Egypt,Egypt
17,France v Senegal,Senegal
18,Iraq v Norway,Draw
19,Argentina v Algeria,Argentina
20,Austria v Jordan,Jordan
21,Ghana v Panama,Panama
22,England v Croatia,England
23,Portugal v DR Congo,DR Congo
24,Uzbekistan v Colombia,Uzbekistan
25,Czech Republic v South Africa,Czech Republic
26,Switzerland v Bosnia and Herzegovina,Bosnia and Herzegovina
27,Canada v Qatar,Draw
28,Mexico v South Korea,South Korea
29,Brazil v Haiti,Draw
30,Scotland v Morocco,Draw
31,Turkey v Paraguay,Turkey
32,United States v Australia,Draw
33,Germany v Ivory Coast,Draw
34,Ecuador v Curaçao,Curaçao
35,Netherlands v Sweden,Netherlands
36,Tunisia v Japan,Draw
37,Uruguay v Cape Verde,Uruguay
38,Spain v Saudi Arabia,Spain
39,Belgium v Iran,Draw
40,New Zealand v Egypt,Draw
41,Norway v Senegal,Norway
42,France v Iraq,Draw
43,Argentina v Austria,Argentina
44,Jordan v Algeria,Algeria
45,England v Ghana,Ghana
46,Panama v Croatia,Draw
47,Portugal v Uzbekistan,Portugal
48,Colombia v DR Congo,Draw
49,Scotland v Brazil,Scotland
50,Morocco v Haiti,Morocco
51,Switzerland v Canada,Draw
52,Bosnia and Herzegovina v Qatar,Draw
53,Czech Republic v Mexico,Draw
54,South Africa v South Korea,Draw
55,Curaçao v Ivory Coast,Ivory Coast
56,Ecuador v Germany,Draw
57,Japan v Sweden,Sweden
58,Tunisia v Netherlands,Netherlands
59,Turkey v United States,United States
60,Paraguay v Australia,Draw
61,Norway v France,Draw
62,Senegal v Iraq,Draw
63,Egypt v Iran,Egypt
64,New Zealand v Belgium,Belgium
65,Cape Verde v Saudi Arabia,Cape Verde
66,Uruguay v Spain,Draw
67,Panama v England,Panama
68,Croatia v Ghana,Croatia
69,Algeria v Austria,Algeria
70,Jordan v Argentina,Draw
71,Colombia v Portugal,Colombia
72,DR Congo v Uzbekistan,DR Congo
