match,group,matchup,pick
1,A,Mexico v South Africa,South Africa
2,A,South Korea v Czech Republic,Czech Republic
3,B,Canada v Bosnia and Herzegovina,Bosnia and Herzegovina
4,D,United States v Paraguay,Draw
5,C,Haiti v Scotland,Haiti
6,D,Australia v Turkey,Draw
7,C,Brazil v Morocco,Brazil
8,B,Qatar v Switzerland,Qatar
9,E,Ivory Coast v Ecuador,Draw
10,E,Germany v Curaçao,Draw
11,F,Netherlands v Japan,Japan
12,F,Sweden v Tunisia,Tunisia
13,H,Saudi Arabia v Uruguay,Uruguay
14,H,Spain v Cape Verde,Cape Verde
15,G,Iran v New Zealand,New Zealand
16,G,Belgium v Egypt,Egypt
17,I,France v Senegal,France
18,I,Iraq v Norway,Iraq
19,J,Argentina v Algeria,Draw
20,J,Austria v Jordan,Draw
21,L,Ghana v Panama,Ghana
22,L,England v Croatia,Croatia
23,K,Portugal v DR Congo,Portugal
24,K,Uzbekistan v Colombia,Uzbekistan
25,A,Czech Republic v South Africa,Czech Republic
26,B,Switzerland v Bosnia and Herzegovina,Bosnia and Herzegovina
27,B,Canada v Qatar,Qatar
28,A,Mexico v South Korea,South Korea
29,C,Brazil v Haiti,Haiti
30,C,Scotland v Morocco,Draw
31,D,Turkey v Paraguay,Draw
32,D,United States v Australia,Australia
33,E,Germany v Ivory Coast,Draw
34,E,Ecuador v Curaçao,Draw
35,F,Netherlands v Sweden,Draw
36,F,Tunisia v Japan,Tunisia
37,H,Uruguay v Cape Verde,Draw
38,H,Spain v Saudi Arabia,Draw
39,G,Belgium v Iran,Draw
40,G,New Zealand v Egypt,Draw
41,I,Norway v Senegal,Draw
42,I,France v Iraq,Iraq
43,J,Argentina v Austria,Draw
44,J,Jordan v Algeria,Jordan
45,L,England v Ghana,Ghana
46,L,Panama v Croatia,Panama
47,K,Portugal v Uzbekistan,Draw
48,K,Colombia v DR Congo,Colombia
49,C,Scotland v Brazil,Brazil
50,C,Morocco v Haiti,Draw
51,B,Switzerland v Canada,Canada
52,B,Bosnia and Herzegovina v Qatar,Bosnia and Herzegovina
53,A,Czech Republic v Mexico,Czech Republic
54,A,South Africa v South Korea,South Africa
55,E,Curaçao v Ivory Coast,Ivory Coast
56,E,Ecuador v Germany,Draw
57,F,Japan v Sweden,Sweden
58,F,Tunisia v Netherlands,Netherlands
59,D,Turkey v United States,United States
60,D,Paraguay v Australia,Australia
61,I,Norway v France,France
62,I,Senegal v Iraq,Draw
63,G,Egypt v Iran,Iran
64,G,New Zealand v Belgium,New Zealand
65,H,Cape Verde v Saudi Arabia,Saudi Arabia
66,H,Uruguay v Spain,Draw
67,L,Panama v England,England
68,L,Croatia v Ghana,Croatia
69,J,Algeria v Austria,Austria
70,J,Jordan v Argentina,Argentina
71,K,Colombia v Portugal,Colombia
72,K,DR Congo v Uzbekistan,Uzbekistan
