match,group,matchup,pick
1,A,Mexico v South Africa,Draw
2,A,South Korea v Czech Republic,South Korea
3,B,Canada v Bosnia and Herzegovina,Bosnia and Herzegovina
4,D,United States v Paraguay,Draw
5,C,Haiti v Scotland,Haiti
6,D,Australia v Turkey,Turkey
7,C,Brazil v Morocco,Brazil
8,B,Qatar v Switzerland,Switzerland
9,E,Ivory Coast v Ecuador,Draw
10,E,Germany v Curaçao,Curaçao
11,F,Netherlands v Japan,Japan
12,F,Sweden v Tunisia,Tunisia
13,H,Saudi Arabia v Uruguay,Uruguay
14,H,Spain v Cape Verde,Spain
15,G,Iran v New Zealand,New Zealand
16,G,Belgium v Egypt,Belgium
17,I,France v Senegal,Senegal
18,I,Iraq v Norway,Norway
19,J,Argentina v Algeria,Argentina
20,J,Austria v Jordan,Draw
21,L,Ghana v Panama,Draw
22,L,England v Croatia,England
23,K,Portugal v DR Congo,DR Congo
24,K,Uzbekistan v Colombia,Draw
25,A,Czech Republic v South Africa,South Africa
26,B,Switzerland v Bosnia and Herzegovina,Switzerland
27,B,Canada v Qatar,Canada
28,A,Mexico v South Korea,Draw
29,C,Brazil v Haiti,Draw
30,C,Scotland v Morocco,Morocco
31,D,Turkey v Paraguay,Draw
32,D,United States v Australia,United States
33,E,Germany v Ivory Coast,Germany
34,E,Ecuador v Curaçao,Ecuador
35,F,Netherlands v Sweden,Sweden
36,F,Tunisia v Japan,Draw
37,H,Uruguay v Cape Verde,Cape Verde
38,H,Spain v Saudi Arabia,Saudi Arabia
39,G,Belgium v Iran,Draw
40,G,New Zealand v Egypt,New Zealand
41,I,Norway v Senegal,Draw
42,I,France v Iraq,Draw
43,J,Argentina v Austria,Draw
44,J,Jordan v Algeria,Algeria
45,L,England v Ghana,Draw
46,L,Panama v Croatia,Panama
47,K,Portugal v Uzbekistan,Draw
48,K,Colombia v DR Congo,Colombia
49,C,Scotland v Brazil,Scotland
50,C,Morocco v Haiti,Morocco
51,B,Switzerland v Canada,Canada
52,B,Bosnia and Herzegovina v Qatar,Qatar
53,A,Czech Republic v Mexico,Mexico
54,A,South Africa v South Korea,Draw
55,E,Curaçao v Ivory Coast,Ivory Coast
56,E,Ecuador v Germany,Draw
57,F,Japan v Sweden,Japan
58,F,Tunisia v Netherlands,Draw
59,D,Turkey v United States,Turkey
60,D,Paraguay v Australia,Draw
61,I,Norway v France,France
62,I,Senegal v Iraq,Senegal
63,G,Egypt v Iran,Draw
64,G,New Zealand v Belgium,Draw
65,H,Cape Verde v Saudi Arabia,Saudi Arabia
66,H,Uruguay v Spain,Spain
67,L,Panama v England,England
68,L,Croatia v Ghana,Draw
69,J,Algeria v Austria,Austria
70,J,Jordan v Argentina,Draw
71,K,Colombia v Portugal,Portugal
72,K,DR Congo v Uzbekistan,Draw
