match,group,matchup,pick
1,A,Mexico v South Africa,Mexico
2,A,South Korea v Czech Republic,South Korea
3,B,Canada v Bosnia and Herzegovina,Bosnia and Herzegovina
4,D,United States v Paraguay,Draw
5,C,Haiti v Scotland,Haiti
6,D,Australia v Turkey,Turkey
7,C,Brazil v Morocco,Brazil
8,B,Qatar v Switzerland,Draw
9,E,Ivory Coast v Ecuador,Draw
10,E,Germany v Curaçao,Draw
11,F,Netherlands v Japan,Netherlands
12,F,Sweden v Tunisia,Tunisia
13,H,Saudi Arabia v Uruguay,Uruguay
14,H,Spain v Cape Verde,Draw
15,G,Iran v New Zealand,Iran
16,G,Belgium v Egypt,Draw
17,I,France v Senegal,France
18,I,Iraq v Norway,Draw
19,J,Argentina v Algeria,Algeria
20,J,Austria v Jordan,Draw
21,L,Ghana v Panama,Panama
22,L,England v Croatia,Croatia
23,K,Portugal v DR Congo,Portugal
24,K,Uzbekistan v Colombia,Draw
25,A,Czech Republic v South Africa,Draw
26,B,Switzerland v Bosnia and Herzegovina,Draw
27,B,Canada v Qatar,Draw
28,A,Mexico v South Korea,Draw
29,C,Brazil v Haiti,Draw
30,C,Scotland v Morocco,Draw
31,D,Turkey v Paraguay,Draw
32,D,United States v Australia,Draw
33,E,Germany v Ivory Coast,Germany
34,E,Ecuador v Curaçao,Draw
35,F,Netherlands v Sweden,Netherlands
36,F,Tunisia v Japan,Japan
37,H,Uruguay v Cape Verde,Uruguay
38,H,Spain v Saudi Arabia,Saudi Arabia
39,G,Belgium v Iran,Belgium
40,G,New Zealand v Egypt,New Zealand
41,I,Norway v Senegal,Senegal
42,I,France v Iraq,France
43,J,Argentina v Austria,Austria
44,J,Jordan v Algeria,Draw
45,L,England v Ghana,England
46,L,Panama v Croatia,Croatia
47,K,Portugal v Uzbekistan,Portugal
48,K,Colombia v DR Congo,Colombia
49,C,Scotland v Brazil,Draw
50,C,Morocco v Haiti,Haiti
51,B,Switzerland v Canada,Draw
52,B,Bosnia and Herzegovina v Qatar,Bosnia and Herzegovina
53,A,Czech Republic v Mexico,Czech Republic
54,A,South Africa v South Korea,Draw
55,E,Curaçao v Ivory Coast,Curaçao
56,E,Ecuador v Germany,Draw
57,F,Japan v Sweden,Sweden
58,F,Tunisia v Netherlands,Draw
59,D,Turkey v United States,Draw
60,D,Paraguay v Australia,Paraguay
61,I,Norway v France,Draw
62,I,Senegal v Iraq,Iraq
63,G,Egypt v Iran,Iran
64,G,New Zealand v Belgium,Belgium
65,H,Cape Verde v Saudi Arabia,Draw
66,H,Uruguay v Spain,Draw
67,L,Panama v England,England
68,L,Croatia v Ghana,Draw
69,J,Algeria v Austria,Draw
70,J,Jordan v Argentina,Jordan
71,K,Colombia v Portugal,Colombia
72,K,DR Congo v Uzbekistan,DR Congo
