match,group,matchup,pick
1,A,Mexico v South Africa,Draw
2,A,South Korea v Czech Republic,Czech Republic
3,B,Canada v Bosnia and Herzegovina,Bosnia and Herzegovina
4,D,United States v Paraguay,United States
5,C,Haiti v Scotland,Scotland
6,D,Australia v Turkey,Turkey
7,C,Brazil v Morocco,Morocco
8,B,Qatar v Switzerland,Draw
9,E,Ivory Coast v Ecuador,Ecuador
10,E,Germany v Curaçao,Draw
11,F,Netherlands v Japan,Japan
12,F,Sweden v Tunisia,Draw
13,H,Saudi Arabia v Uruguay,Draw
14,H,Spain v Cape Verde,Draw
15,G,Iran v New Zealand,Draw
16,G,Belgium v Egypt,Belgium
17,I,France v Senegal,Draw
18,I,Iraq v Norway,Norway
19,J,Argentina v Algeria,Algeria
20,J,Austria v Jordan,Jordan
21,L,Ghana v Panama,Panama
22,L,England v Croatia,Croatia
23,K,Portugal v DR Congo,Portugal
24,K,Uzbekistan v Colombia,Draw
25,A,Czech Republic v South Africa,Draw
26,B,Switzerland v Bosnia and Herzegovina,Draw
27,B,Canada v Qatar,Qatar
28,A,Mexico v South Korea,South Korea
29,C,Brazil v Haiti,Haiti
30,C,Scotland v Morocco,Draw
31,D,Turkey v Paraguay,Turkey
32,D,United States v Australia,Draw
33,E,Germany v Ivory Coast,Germany
34,E,Ecuador v Curaçao,Ecuador
35,F,Netherlands v Sweden,Sweden
36,F,Tunisia v Japan,Tunisia
37,H,Uruguay v Cape Verde,Draw
38,H,Spain v Saudi Arabia,Draw
39,G,Belgium v Iran,Draw
40,G,New Zealand v Egypt,Draw
41,I,Norway v Senegal,Norway
42,I,France v Iraq,Iraq
43,J,Argentina v Austria,Argentina
44,J,Jordan v Algeria,Draw
45,L,England v Ghana,Ghana
46,L,Panama v Croatia,Panama
47,K,Portugal v Uzbekistan,Portugal
48,K,Colombia v DR Congo,DR Congo
49,C,Scotland v Brazil,Draw
50,C,Morocco v Haiti,Haiti
51,B,Switzerland v Canada,Draw
52,B,Bosnia and Herzegovina v Qatar,Draw
53,A,Czech Republic v Mexico,Draw
54,A,South Africa v South Korea,South Korea
55,E,Curaçao v Ivory Coast,Curaçao
56,E,Ecuador v Germany,Draw
57,F,Japan v Sweden,Draw
58,F,Tunisia v Netherlands,Draw
59,D,Turkey v United States,Turkey
60,D,Paraguay v Australia,Australia
61,I,Norway v France,Draw
62,I,Senegal v Iraq,Iraq
63,G,Egypt v Iran,Draw
64,G,New Zealand v Belgium,Belgium
65,H,Cape Verde v Saudi Arabia,Draw
66,H,Uruguay v Spain,Draw
67,L,Panama v England,Panama
68,L,Croatia v Ghana,Draw
69,J,Algeria v Austria,Austria
70,J,Jordan v Argentina,Argentina
71,K,Colombia v Portugal,Portugal
72,K,DR Congo v Uzbekistan,DR Congo
