1,Mexico v South Africa,South Africa
2,South Korea v Czech Republic,Draw
3,Canada v Bosnia and Herzegovina,Draw
4,United States v Paraguay,Draw
5,Haiti v Scotland,Haiti
6,Australia v Turkey,Australia
7,Brazil v Morocco,Draw
8,Qatar v Switzerland,Qatar
9,Ivory Coast v Ecuador,Draw
10,Germany v Curaçao,Draw
11,Netherlands v Japan,Japan
12,Sweden v Tunisia,Draw
13,Saudi Arabia v Uruguay,Saudi Arabia
14,Spain v Cape Verde,Draw
15,Iran v New Zealand,New Zealand
16,Belgium v Egypt,Draw
17,France v Senegal,Draw
18,Iraq v Norway,Norway
19,Argentina v Algeria,Algeria
20,Austria v Jordan,Draw
21,Ghana v Panama,Draw
22,England v Croatia,Croatia
23,Portugal v DR Congo,DR Congo
24,Uzbekistan v Colombia,Draw
25,Czech Republic v South Africa,South Africa
26,Switzerland v Bosnia and Herzegovina,Draw
27,Canada v Qatar,Qatar
28,Mexico v South Korea,Draw
29,Brazil v Haiti,Brazil
30,Scotland v Morocco,Draw
31,Turkey v Paraguay,Draw
32,United States v Australia,Draw
33,Germany v Ivory Coast,Germany
34,Ecuador v Curaçao,Curaçao
35,Netherlands v Sweden,Draw
36,Tunisia v Japan,Draw
37,Uruguay v Cape Verde,Draw
38,Spain v Saudi Arabia,Saudi Arabia
39,Belgium v Iran,Belgium
40,New Zealand v Egypt,New Zealand
41,Norway v Senegal,Senegal
42,France v Iraq,France
43,Argentina v Austria,Draw
44,Jordan v Algeria,Draw
45,England v Ghana,England
46,Panama v Croatia,Panama
47,Portugal v Uzbekistan,Uzbekistan
48,Colombia v DR Congo,Colombia
49,Scotland v Brazil,Draw
50,Morocco v Haiti,Haiti
51,Switzerland v Canada,Canada
52,Bosnia and Herzegovina v Qatar,Draw
53,Czech Republic v Mexico,Czech Republic
54,South Africa v South Korea,South Africa
55,Curaçao v Ivory Coast,Draw
56,Ecuador v Germany,Germany
57,Japan v Sweden,Japan
58,Tunisia v Netherlands,Draw
59,Turkey v United States,United States
60,Paraguay v Australia,Paraguay
61,Norway v France,France
62,Senegal v Iraq,Draw
63,Egypt v Iran,Egypt
64,New Zealand v Belgium,New Zealand
65,Cape Verde v Saudi Arabia,Draw
66,Uruguay v Spain,Draw
67,Panama v England,Draw
68,Croatia v Ghana,Ghana
69,Algeria v Austria,Algeria
70,Jordan v Argentina,Draw
71,Colombia v Portugal,Draw
72,DR Congo v Uzbekistan,Uzbekistan
