1,Mexico v South Africa,South Africa
2,South Korea v Czech Republic,Czech Republic
3,Canada v Bosnia and Herzegovina,Canada
4,United States v Paraguay,Draw
5,Haiti v Scotland,Scotland
6,Australia v Turkey,Turkey
7,Brazil v Morocco,Draw
8,Qatar v Switzerland,Draw
9,Ivory Coast v Ecuador,Ivory Coast
10,Germany v Curaçao,Germany
11,Netherlands v Japan,Draw
12,Sweden v Tunisia,Draw
13,Saudi Arabia v Uruguay,Draw
14,Spain v Cape Verde,Draw
15,Iran v New Zealand,New Zealand
16,Belgium v Egypt,Egypt
17,France v Senegal,Draw
18,Iraq v Norway,Draw
19,Argentina v Algeria,Argentina
20,Austria v Jordan,Jordan
21,Ghana v Panama,Panama
22,England v Croatia,England
23,Portugal v DR Congo,Draw
24,Uzbekistan v Colombia,Uzbekistan
25,Czech Republic v South Africa,Czech Republic
26,Switzerland v Bosnia and Herzegovina,Bosnia and Herzegovina
27,Canada v Qatar,Qatar
28,Mexico v South Korea,Draw
29,Brazil v Haiti,Haiti
30,Scotland v Morocco,Morocco
31,Turkey v Paraguay,Turkey
32,United States v Australia,Draw
33,Germany v Ivory Coast,Draw
34,Ecuador v Curaçao,Curaçao
35,Netherlands v Sweden,Sweden
36,Tunisia v Japan,Draw
37,Uruguay v Cape Verde,Draw
38,Spain v Saudi Arabia,Saudi Arabia
39,Belgium v Iran,Draw
40,New Zealand v Egypt,Draw
41,Norway v Senegal,Senegal
42,France v Iraq,France
43,Argentina v Austria,Argentina
44,Jordan v Algeria,Jordan
45,England v Ghana,Draw
46,Panama v Croatia,Draw
47,Portugal v Uzbekistan,Portugal
48,Colombia v DR Congo,DR Congo
49,Scotland v Brazil,Draw
50,Morocco v Haiti,Morocco
51,Switzerland v Canada,Canada
52,Bosnia and Herzegovina v Qatar,Draw
53,Czech Republic v Mexico,Czech Republic
54,South Africa v South Korea,South Africa
55,Curaçao v Ivory Coast,Curaçao
56,Ecuador v Germany,Germany
57,Japan v Sweden,Draw
58,Tunisia v Netherlands,Netherlands
59,Turkey v United States,United States
60,Paraguay v Australia,Paraguay
61,Norway v France,Norway
62,Senegal v Iraq,Iraq
63,Egypt v Iran,Egypt
64,New Zealand v Belgium,Belgium
65,Cape Verde v Saudi Arabia,Draw
66,Uruguay v Spain,Uruguay
67,Panama v England,England
68,Croatia v Ghana,Ghana
69,Algeria v Austria,Austria
70,Jordan v Argentina,Jordan
71,Colombia v Portugal,Draw
72,DR Congo v Uzbekistan,Draw
