match,group,matchup,pick
1,A,Mexico v South Africa,Mexico
2,A,South Korea v Czech Republic,Draw
3,B,Canada v Bosnia and Herzegovina,Canada
4,D,United States v Paraguay,Paraguay
5,C,Haiti v Scotland,Draw
6,D,Australia v Turkey,Turkey
7,C,Brazil v Morocco,Brazil
8,B,Qatar v Switzerland,Switzerland
9,E,Ivory Coast v Ecuador,Draw
10,E,Germany v Curaçao,Germany
11,F,Netherlands v Japan,Draw
12,F,Sweden v Tunisia,Sweden
13,H,Saudi Arabia v Uruguay,Draw
14,H,Spain v Cape Verde,Draw
15,G,Iran v New Zealand,Iran
16,G,Belgium v Egypt,Draw
17,I,France v Senegal,Draw
18,I,Iraq v Norway,Norway
19,J,Argentina v Algeria,Algeria
20,J,Austria v Jordan,Austria
21,L,Ghana v Panama,Ghana
22,L,England v Croatia,Draw
23,K,Portugal v DR Congo,DR Congo
24,K,Uzbekistan v Colombia,Colombia
25,A,Czech Republic v South Africa,Draw
26,B,Switzerland v Bosnia and Herzegovina,Draw
27,B,Canada v Qatar,Qatar
28,A,Mexico v South Korea,Draw
29,C,Brazil v Haiti,Haiti
30,C,Scotland v Morocco,Morocco
31,D,Turkey v Paraguay,Draw
32,D,United States v Australia,Australia
33,E,Germany v Ivory Coast,Ivory Coast
34,E,Ecuador v Curaçao,Draw
35,F,Netherlands v Sweden,Netherlands
36,F,Tunisia v Japan,Tunisia
37,H,Uruguay v Cape Verde,Draw
38,H,Spain v Saudi Arabia,Draw
39,G,Belgium v Iran,Iran
40,G,New Zealand v Egypt,Draw
41,I,Norway v Senegal,Senegal
42,I,France v Iraq,Iraq
43,J,Argentina v Austria,Austria
44,J,Jordan v Algeria,Algeria
45,L,England v Ghana,Ghana
46,L,Panama v Croatia,Draw
47,K,Portugal v Uzbekistan,Draw
48,K,Colombia v DR Congo,Colombia
49,C,Scotland v Brazil,Draw
50,C,Morocco v Haiti,Haiti
51,B,Switzerland v Canada,Switzerland
52,B,Bosnia and Herzegovina v Qatar,Qatar
53,A,Czech Republic v Mexico,Mexico
54,A,South Africa v South Korea,Draw
55,E,Curaçao v Ivory Coast,Ivory Coast
56,E,Ecuador v Germany,Germany
57,F,Japan v Sweden,Sweden
58,F,Tunisia v Netherlands,Tunisia
59,D,Turkey v United States,United States
60,D,Paraguay v Australia,Draw
61,I,Norway v France,Norway
62,I,Senegal v Iraq,Iraq
63,G,Egypt v Iran,Draw
64,G,New Zealand v Belgium,New Zealand
65,H,Cape Verde v Saudi Arabia,Draw
66,H,Uruguay v Spain,Draw
67,L,Panama v England,England
68,L,Croatia v Ghana,Croatia
69,J,Algeria v Austria,Algeria
70,J,Jordan v Argentina,Draw
71,K,Colombia v Portugal,Portugal
72,K,DR Congo v Uzbekistan,Uzbekistan
