match,round,matchup,pick
73,R32,Brazil v Morocco,Brazil
74,R32,France v Norway,Norway
75,R32,Spain v Ecuador,Ecuador
76,R32,Germany v Switzerland,Switzerland
77,R32,Argentina v Mexico,Argentina
78,R32,Netherlands v Senegal,Netherlands
79,R32,England v Ivory Coast,Ivory Coast
80,R32,Portugal v Colombia,Portugal
81,R32,Belgium v United States,Belgium
82,R32,Croatia v Japan,Japan
83,R32,South Korea v Saudi Arabia,Saudi Arabia
84,R32,Uruguay v Egypt,Egypt
85,R32,Turkey v Canada,Turkey
86,R32,Austria v Sweden,Sweden
87,R32,Tunisia v Ghana,Tunisia
88,R32,Panama v Australia,Panama
89,R16,Norway v Argentina,Norway
90,R16,Brazil v Ecuador,Ecuador
91,R16,Switzerland v Netherlands,Netherlands
92,R16,Ivory Coast v Portugal,Ivory Coast
93,R16,Saudi Arabia v Egypt,Saudi Arabia
94,R16,Belgium v Japan,Belgium
95,R16,Sweden v Panama,Panama
96,R16,Turkey v Tunisia,Turkey
97,QF,Norway v Ecuador,Ecuador
98,QF,Saudi Arabia v Belgium,Belgium
99,QF,Netherlands v Ivory Coast,Ivory Coast
100,QF,Panama v Turkey,Panama
101,SF,Ecuador v Belgium,Belgium
102,SF,Ivory Coast v Panama,Panama
103,3rd,Ecuador v Ivory Coast,Ivory Coast
104,Final,Belgium v Panama,Belgium
