match,round,matchup,pick
73,R32,Brazil v Morocco,Morocco
74,R32,France v Norway,Norway
75,R32,Spain v Ecuador,Spain
76,R32,Germany v Switzerland,Switzerland
77,R32,Argentina v Mexico,Argentina
78,R32,Netherlands v Senegal,Senegal
79,R32,England v Ivory Coast,Ivory Coast
80,R32,Portugal v Colombia,Colombia
81,R32,Belgium v United States,Belgium
82,R32,Croatia v Japan,Croatia
83,R32,South Korea v Saudi Arabia,South Korea
84,R32,Uruguay v Egypt,Uruguay
85,R32,Turkey v Canada,Turkey
86,R32,Austria v Sweden,Austria
87,R32,Tunisia v Ghana,Ghana
88,R32,Panama v Australia,Panama
89,R16,Norway v Argentina,Argentina
90,R16,Morocco v Spain,Morocco
91,R16,Switzerland v Senegal,Switzerland
92,R16,Ivory Coast v Colombia,Ivory Coast
93,R16,South Korea v Uruguay,South Korea
94,R16,Belgium v Croatia,Belgium
95,R16,Austria v Panama,Panama
96,R16,Turkey v Ghana,Ghana
97,QF,Argentina v Morocco,Morocco
98,QF,South Korea v Belgium,Belgium
99,QF,Switzerland v Ivory Coast,Switzerland
100,QF,Panama v Ghana,Panama
101,SF,Morocco v Belgium,Morocco
102,SF,Switzerland v Panama,Panama
103,3rd,Belgium v Switzerland,Belgium
104,Final,Morocco v Panama,Panama
