match,round,matchup,pick
73,R32,Brazil v Morocco,Brazil
74,R32,France v Norway,Norway
75,R32,Spain v Ecuador,Spain
76,R32,Germany v Switzerland,Switzerland
77,R32,Argentina v Mexico,Mexico
78,R32,Netherlands v Senegal,Netherlands
79,R32,England v Ivory Coast,England
80,R32,Portugal v Colombia,Colombia
81,R32,Belgium v United States,Belgium
82,R32,Croatia v Japan,Croatia
83,R32,South Korea v Saudi Arabia,South Korea
84,R32,Uruguay v Egypt,Uruguay
85,R32,Turkey v Canada,Canada
86,R32,Austria v Sweden,Austria
87,R32,Tunisia v Ghana,Ghana
88,R32,Panama v Australia,Panama
89,R16,Norway v Mexico,Norway
90,R16,Brazil v Spain,Spain
91,R16,Switzerland v Netherlands,Netherlands
92,R16,England v Colombia,England
93,R16,South Korea v Uruguay,South Korea
94,R16,Belgium v Croatia,Belgium
95,R16,Austria v Panama,Panama
96,R16,Canada v Ghana,Ghana
97,QF,Norway v Spain,Spain
98,QF,South Korea v Belgium,South Korea
99,QF,Netherlands v England,Netherlands
100,QF,Panama v Ghana,Ghana
101,SF,Spain v South Korea,Spain
102,SF,Netherlands v Ghana,Netherlands
103,3rd,South Korea v Ghana,South Korea
104,Final,Spain v Netherlands,Spain
