match,round,matchup,pick
73,R32,Brazil v Morocco,Brazil
74,R32,France v Norway,France
75,R32,Spain v Ecuador,Spain
76,R32,Germany v Switzerland,Germany
77,R32,Argentina v Mexico,Mexico
78,R32,Netherlands v Senegal,Senegal
79,R32,England v Ivory Coast,England
80,R32,Portugal v Colombia,Colombia
81,R32,Belgium v United States,United States
82,R32,Croatia v Japan,Croatia
83,R32,South Korea v Saudi Arabia,Saudi Arabia
84,R32,Uruguay v Egypt,Uruguay
85,R32,Turkey v Canada,Canada
86,R32,Austria v Sweden,Sweden
87,R32,Tunisia v Ghana,Ghana
88,R32,Panama v Australia,Australia
89,R16,France v Mexico,Mexico
90,R16,Brazil v Spain,Brazil
91,R16,Germany v Senegal,Germany
92,R16,England v Colombia,Colombia
93,R16,Saudi Arabia v Uruguay,Saudi Arabia
94,R16,United States v Croatia,Croatia
95,R16,Sweden v Australia,Australia
96,R16,Canada v Ghana,Canada
97,QF,Mexico v Brazil,Brazil
98,QF,Saudi Arabia v Croatia,Croatia
99,QF,Germany v Colombia,Colombia
100,QF,Australia v Canada,Australia
101,SF,Brazil v Croatia,Croatia
102,SF,Colombia v Australia,Australia
103,3rd,Brazil v Colombia,Brazil
104,Final,Croatia v Australia,Croatia
