match,round,matchup,pick
73,R32,Brazil v Morocco,Brazil
74,R32,France v Norway,Norway
75,R32,Spain v Ecuador,Ecuador
76,R32,Germany v Switzerland,Germany
77,R32,Argentina v Mexico,Argentina
78,R32,Netherlands v Senegal,Netherlands
79,R32,England v Ivory Coast,Ivory Coast
80,R32,Portugal v Colombia,Colombia
81,R32,Belgium v United States,Belgium
82,R32,Croatia v Japan,Japan
83,R32,South Korea v Saudi Arabia,Saudi Arabia
84,R32,Uruguay v Egypt,Egypt
85,R32,Turkey v Canada,Canada
86,R32,Austria v Sweden,Austria
87,R32,Tunisia v Ghana,Ghana
88,R32,Panama v Australia,Panama
89,R16,Norway v Argentina,Argentina
90,R16,Brazil v Ecuador,Ecuador
91,R16,Germany v Netherlands,Netherlands
92,R16,Ivory Coast v Colombia,Ivory Coast
93,R16,Saudi Arabia v Egypt,Saudi Arabia
94,R16,Belgium v Japan,Japan
95,R16,Austria v Panama,Panama
96,R16,Canada v Ghana,Ghana
97,QF,Argentina v Ecuador,Argentina
98,QF,Saudi Arabia v Japan,Saudi Arabia
99,QF,Netherlands v Ivory Coast,Ivory Coast
100,QF,Panama v Ghana,Ghana
101,SF,Argentina v Saudi Arabia,Argentina
102,SF,Ivory Coast v Ghana,Ivory Coast
103,3rd,Saudi Arabia v Ghana,Saudi Arabia
104,Final,Argentina v Ivory Coast,Argentina
