match,round,matchup,pick
73,R32,Brazil v Morocco,Brazil
74,R32,France v Norway,France
75,R32,Spain v Ecuador,Spain
76,R32,Germany v Switzerland,Switzerland
77,R32,Argentina v Mexico,Argentina
78,R32,Netherlands v Senegal,Netherlands
79,R32,England v Ivory Coast,England
80,R32,Portugal v Colombia,Portugal
81,R32,Belgium v United States,United States
82,R32,Croatia v Japan,Croatia
83,R32,South Korea v Saudi Arabia,Saudi Arabia
84,R32,Uruguay v Egypt,Uruguay
85,R32,Turkey v Canada,Canada
86,R32,Austria v Sweden,Sweden
87,R32,Tunisia v Ghana,Ghana
88,R32,Panama v Australia,Australia
89,R16,France v Argentina,France
90,R16,Brazil v Spain,Spain
91,R16,Switzerland v Netherlands,Netherlands
92,R16,England v Portugal,Portugal
93,R16,Saudi Arabia v Uruguay,Saudi Arabia
94,R16,United States v Croatia,United States
95,R16,Sweden v Australia,Sweden
96,R16,Canada v Ghana,Ghana
97,QF,France v Spain,Spain
98,QF,Saudi Arabia v United States,United States
99,QF,Netherlands v Portugal,Portugal
100,QF,Sweden v Ghana,Sweden
101,SF,Spain v United States,United States
102,SF,Portugal v Sweden,Portugal
103,3rd,Spain v Sweden,Sweden
104,Final,United States v Portugal,Portugal
