match,round,matchup,pick
73,R32,Brazil v Morocco,Morocco
74,R32,France v Norway,France
75,R32,Spain v Ecuador,Spain
76,R32,Germany v Switzerland,Switzerland
77,R32,Argentina v Mexico,Argentina
78,R32,Netherlands v Senegal,Netherlands
79,R32,England v Ivory Coast,Ivory Coast
80,R32,Portugal v Colombia,Colombia
81,R32,Belgium v United States,United States
82,R32,Croatia v Japan,Japan
83,R32,South Korea v Saudi Arabia,South Korea
84,R32,Uruguay v Egypt,Uruguay
85,R32,Turkey v Canada,Canada
86,R32,Austria v Sweden,Austria
87,R32,Tunisia v Ghana,Ghana
88,R32,Panama v Australia,Australia
89,R16,France v Argentina,Argentina
90,R16,Morocco v Spain,Spain
91,R16,Switzerland v Netherlands,Switzerland
92,R16,Ivory Coast v Colombia,Colombia
93,R16,South Korea v Uruguay,South Korea
94,R16,United States v Japan,United States
95,R16,Austria v Australia,Australia
96,R16,Canada v Ghana,Ghana
97,QF,Argentina v Spain,Argentina
98,QF,South Korea v United States,United States
99,QF,Switzerland v Colombia,Colombia
100,QF,Australia v Ghana,Ghana
101,SF,Argentina v United States,Argentina
102,SF,Colombia v Ghana,Colombia
103,3rd,United States v Ghana,United States
104,Final,Argentina v Colombia,Colombia
