match,round,matchup,pick
73,R32,Brazil v Morocco,Morocco
74,R32,France v Norway,Norway
75,R32,Spain v Ecuador,Ecuador
76,R32,Germany v Switzerland,Germany
77,R32,Argentina v Mexico,Argentina
78,R32,Netherlands v Senegal,Senegal
79,R32,England v Ivory Coast,England
80,R32,Portugal v Colombia,Portugal
81,R32,Belgium v United States,Belgium
82,R32,Croatia v Japan,Croatia
83,R32,South Korea v Saudi Arabia,Saudi Arabia
84,R32,Uruguay v Egypt,Egypt
85,R32,Turkey v Canada,Canada
86,R32,Austria v Sweden,Austria
87,R32,Tunisia v Ghana,Tunisia
88,R32,Panama v Australia,Australia
89,R16,Norway v Argentina,Argentina
90,R16,Morocco v Ecuador,Morocco
91,R16,Germany v Senegal,Senegal
92,R16,England v Portugal,Portugal
93,R16,Saudi Arabia v Egypt,Egypt
94,R16,Belgium v Croatia,Croatia
95,R16,Austria v Australia,Australia
96,R16,Canada v Tunisia,Tunisia
97,QF,Argentina v Morocco,Argentina
98,QF,Egypt v Croatia,Croatia
99,QF,Senegal v Portugal,Portugal
100,QF,Australia v Tunisia,Australia
101,SF,Argentina v Croatia,Croatia
102,SF,Portugal v Australia,Australia
103,3rd,Argentina v Portugal,Argentina
104,Final,Croatia v Australia,Australia
