match,round,matchup,pick
73,R32,Brazil v Morocco,Brazil
74,R32,France v Norway,France
75,R32,Spain v Ecuador,Ecuador
76,R32,Germany v Switzerland,Switzerland
77,R32,Argentina v Mexico,Mexico
78,R32,Netherlands v Senegal,Netherlands
79,R32,England v Ivory Coast,Ivory Coast
80,R32,Portugal v Colombia,Colombia
81,R32,Belgium v United States,Belgium
82,R32,Croatia v Japan,Croatia
83,R32,South Korea v Saudi Arabia,Saudi Arabia
84,R32,Uruguay v Egypt,Uruguay
85,R32,Turkey v Canada,Canada
86,R32,Austria v Sweden,Austria
87,R32,Tunisia v Ghana,Tunisia
88,R32,Panama v Australia,Panama
89,R16,France v Mexico,Mexico
90,R16,Brazil v Ecuador,Ecuador
91,R16,Switzerland v Netherlands,Netherlands
92,R16,Ivory Coast v Colombia,Ivory Coast
93,R16,Saudi Arabia v Uruguay,Uruguay
94,R16,Belgium v Croatia,Belgium
95,R16,Austria v Panama,Panama
96,R16,Canada v Tunisia,Tunisia
97,QF,Mexico v Ecuador,Ecuador
98,QF,Uruguay v Belgium,Belgium
99,QF,Netherlands v Ivory Coast,Ivory Coast
100,QF,Panama v Tunisia,Panama
101,SF,Ecuador v Belgium,Ecuador
102,SF,Ivory Coast v Panama,Panama
103,3rd,Belgium v Ivory Coast,Belgium
104,Final,Ecuador v Panama,Ecuador
