match,round,matchup,pick
73,R32,Brazil v Morocco,Morocco
74,R32,France v Norway,France
75,R32,Spain v Ecuador,Ecuador
76,R32,Germany v Switzerland,Switzerland
77,R32,Argentina v Mexico,Mexico
78,R32,Netherlands v Senegal,Senegal
79,R32,England v Ivory Coast,Ivory Coast
80,R32,Portugal v Colombia,Colombia
81,R32,Belgium v United States,Belgium
82,R32,Croatia v Japan,Croatia
83,R32,South Korea v Saudi Arabia,Saudi Arabia
84,R32,Uruguay v Egypt,Egypt
85,R32,Turkey v Canada,Canada
86,R32,Austria v Sweden,Austria
87,R32,Tunisia v Ghana,Tunisia
88,R32,Panama v Australia,Australia
89,R16,France v Mexico,France
90,R16,Morocco v Ecuador,Ecuador
91,R16,Switzerland v Senegal,Senegal
92,R16,Ivory Coast v Colombia,Colombia
93,R16,Saudi Arabia v Egypt,Egypt
94,R16,Belgium v Croatia,Croatia
95,R16,Austria v Australia,Austria
96,R16,Canada v Tunisia,Canada
97,QF,France v Ecuador,Ecuador
98,QF,Egypt v Croatia,Croatia
99,QF,Senegal v Colombia,Colombia
100,QF,Austria v Canada,Austria
101,SF,Ecuador v Croatia,Ecuador
102,SF,Colombia v Austria,Austria
103,3rd,Croatia v Colombia,Colombia
104,Final,Ecuador v Austria,Austria
