match,round,matchup,pick
73,R32,Brazil v Morocco,Morocco
74,R32,France v Norway,Norway
75,R32,Spain v Ecuador,Ecuador
76,R32,Germany v Switzerland,Switzerland
77,R32,Argentina v Mexico,Argentina
78,R32,Netherlands v Senegal,Netherlands
79,R32,England v Ivory Coast,Ivory Coast
80,R32,Portugal v Colombia,Portugal
81,R32,Belgium v United States,United States
82,R32,Croatia v Japan,Japan
83,R32,South Korea v Saudi Arabia,Saudi Arabia
84,R32,Uruguay v Egypt,Uruguay
85,R32,Turkey v Canada,Turkey
86,R32,Austria v Sweden,Austria
87,R32,Tunisia v Ghana,Ghana
88,R32,Panama v Australia,Panama
89,R16,Norway v Argentina,Norway
90,R16,Morocco v Ecuador,Morocco
91,R16,Switzerland v Netherlands,Netherlands
92,R16,Ivory Coast v Portugal,Ivory Coast
93,R16,Saudi Arabia v Uruguay,Saudi Arabia
94,R16,United States v Japan,Japan
95,R16,Austria v Panama,Austria
96,R16,Turkey v Ghana,Ghana
97,QF,Norway v Morocco,Morocco
98,QF,Saudi Arabia v Japan,Saudi Arabia
99,QF,Netherlands v Ivory Coast,Ivory Coast
100,QF,Austria v Ghana,Austria
101,SF,Morocco v Saudi Arabia,Saudi Arabia
102,SF,Ivory Coast v Austria,Ivory Coast
103,3rd,Morocco v Austria,Austria
104,Final,Saudi Arabia v Ivory Coast,Saudi Arabia
